jd wavelength flux fluxerr code cflag memo
2452539.768144042 12.1402 12.062768 0.255882 675 999 Lim2005_3
2452539.768144042 12.2264 12.227949 0.25304 675 999 Lim2005_3
2452539.768144042 12.3246 12.165415 0.346124 675 999 Lim2005_3
2452539.768144042 12.4161 12.388346 0.381393 675 999 Lim2005_3
2452539.768144042 12.5154 12.432223 0.200558 675 999 Lim2005_3
2452539.768144042 12.6136 12.463407 0.276227 675 999 Lim2005_3
2452539.768144042 12.711 12.598465 0.427776 675 999 Lim2005_3
2452539.768144042 12.8097 12.728419 0.462934 675 999 Lim2005_3
2452539.768144042 12.9058 12.807686 0.357851 675 999 Lim2005_3
2452539.768144042 13.0033 12.651919 0.462354 675 999 Lim2005_3
2452545.9060276826 8.12 6.290097664831847 0.4458960347948739 568 999 UKIRT2002
2452545.9060276826 8.369 6.985501996517871 0.49121254472776227 568 999 UKIRT2002
2452545.9060276826 8.625 7.617910746440458 0.5360407910851264 568 999 UKIRT2002
2452545.9060276826 8.884 8.345563367041075 0.5850430357153626 568 999 UKIRT2002
2452545.9060276826 9.159 8.814262270400413 0.6180697465590906 568 999 UKIRT2002
2452545.9060276826 10.166 11.100316950601876 0.777741367421767 568 999 UKIRT2002
2452545.9060276826 10.476 11.67779802652674 0.8180948835282444 568 999 UKIRT2002
2452545.9060276826 10.783 12.100772651191912 0.8487926328038781 568 999 UKIRT2002
2452545.9060276826 11.088 12.630962568111034 0.8855358441971707 568 999 UKIRT2002
2452545.9060276826 11.393 13.24881141406166 0.9278569390031598 568 999 UKIRT2002
2452545.9060276826 11.7 13.926784642460884 0.9759436971715724 568 999 UKIRT2002
2452545.9060276826 12.011 14.388277966285596 1.0085694876965874 568 999 UKIRT2002
